walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1860.00,2711.80,2880.00
long_walk,1,1,1860.00,2554.10,3000.00
long_walk,1,2,1860.00,2436.00,4020.00
long_walk,1,3,1860.00,2370.10,2880.00
long_walk,1,4,1280.00,2315.80,3480.00
long_walk,1,5,1280.00,2138.00,3320.00
long_walk,1,6,1280.00,2029.70,4380.00
long_walk,1,7,1280.00,1783.80,4640.00
long_walk,1,8,1160.00,1633.00,3040.00
long_walk,1,9,1160.00,1516.80,4840.00
long_walk,1,10,1160.00,1642.20,5500.00
long_walk,1,11,1160.00,1468.20,2880.00
long_walk,1,12,1160.00,1482.10,5320.00
long_walk,1,13,980.00,1412.60,5600.00
long_walk,1,14,820.00,1425.00,4180.00
long_walk,1,15,980.00,1567.90,6020.00
long_walk,1,16,860.00,1372.30,3240.00
long_walk,1,17,860.00,1360.40,3420.00
long_walk,1,18,860.00,1304.30,5500.00
long_walk,1,19,860.00,1274.10,3800.00
long_walk,2,0,2320.00,2738.20,3960.00
long_walk,2,1,2320.00,2595.90,3800.00
long_walk,2,2,2320.00,2478.70,3540.00
long_walk,2,3,2220.00,2435.60,2880.00
long_walk,2,4,2220.00,2418.20,2880.00
long_walk,2,5,2220.00,2398.90,2880.00
long_walk,2,6,2220.00,2397.30,3480.00
long_walk,2,7,2220.00,2366.70,3480.00
long_walk,2,8,2200.00,2311.70,3280.00
long_walk,2,9,2100.00,2267.00,3140.00
long_walk,2,10,2100.00,2240.20,2960.00
long_walk,2,11,2100.00,2291.40,4240.00
long_walk,2,12,1900.00,2242.80,2780.00
long_walk,2,13,1900.00,2234.90,4260.00
long_walk,2,14,1900.00,2226.20,5700.00
long_walk,2,15,1900.00,2132.10,4260.00
long_walk,2,16,1240.00,2172.30,3860.00
long_walk,2,17,1580.00,2063.50,2880.00
long_walk,2,18,1120.00,1986.30,3900.00
long_walk,2,19,860.00,1943.60,5100.00
long_walk,3,0,2400.00,2719.20,2880.00
long_walk,3,1,2400.00,2582.20,3000.00
long_walk,3,2,2400.00,2456.60,2880.00
long_walk,3,3,2300.00,2456.60,5580.00
long_walk,3,4,2300.00,2404.20,2880.00
long_walk,3,5,2300.00,2415.40,3240.00
long_walk,3,6,2220.00,2400.30,4120.00
long_walk,3,7,2220.00,2394.10,4140.00
long_walk,3,8,2140.00,2395.90,5340.00
long_walk,3,9,2000.00,2351.70,5180.00
long_walk,3,10,2000.00,2331.40,5180.00
long_walk,3,11,1880.00,2236.00,3320.00
long_walk,3,12,1780.00,2235.00,6260.00
long_walk,3,13,1380.00,2137.90,3480.00
long_walk,3,14,1380.00,2109.70,4020.00
long_walk,3,15,1380.00,2102.60,5100.00
long_walk,3,16,1340.00,1918.20,4260.00
long_walk,3,17,1340.00,1803.10,3080.00
long_walk,3,18,1340.00,1792.90,7220.00
long_walk,3,19,1300.00,1731.30,6500.00
long_walk,4,0,2400.00,2771.20,3800.00
long_walk,4,1,2400.00,2599.40,2880.00
long_walk,4,2,2300.00,2491.90,3320.00
long_walk,4,3,2300.00,2452.00,4400.00
long_walk,4,4,2300.00,2430.20,3480.00
long_walk,4,5,2300.00,2407.20,3880.00
long_walk,4,6,1660.00,2387.20,4040.00
long_walk,4,7,1660.00,2323.50,2880.00
long_walk,4,8,1280.00,2268.20,3480.00
long_walk,4,9,1280.00,2205.60,4360.00
long_walk,4,10,1280.00,2004.10,2880.00
long_walk,4,11,1160.00,1785.70,2880.00
long_walk,4,12,1160.00,1755.30,6960.00
long_walk,4,13,1160.00,1622.30,5040.00
long_walk,4,14,1160.00,1471.10,4800.00
long_walk,4,15,1160.00,1428.10,2880.00
long_walk,4,16,1160.00,1459.80,3160.00
long_walk,4,17,1160.00,1413.60,4800.00
long_walk,4,18,1040.00,1405.60,2880.00
long_walk,4,19,1040.00,1494.80,8080.00
long_walk,5,0,2400.00,2712.00,2880.00
long_walk,5,1,2400.00,2641.80,6300.00
long_walk,5,2,2400.00,2465.30,3480.00
long_walk,5,3,2400.00,2451.20,3480.00
long_walk,5,4,2300.00,2425.80,2880.00
long_walk,5,5,2300.00,2444.60,3480.00
long_walk,5,6,2300.00,2444.20,3880.00
long_walk,5,7,2300.00,2413.90,2880.00
long_walk,5,8,2300.00,2419.80,3240.00
long_walk,5,9,2300.00,2475.80,8700.00
long_walk,5,10,2300.00,2354.40,2880.00
long_walk,5,11,2020.00,2376.00,4140.00
long_walk,5,12,2020.00,2543.80,9300.00
long_walk,5,13,2020.00,2389.50,6460.00
long_walk,5,14,2020.00,2481.60,7140.00
long_walk,5,15,2020.00,2382.40,8160.00
long_walk,5,16,1750.00,2334.10,5380.00
long_walk,5,17,1720.00,2255.00,6620.00
long_walk,5,18,1470.00,2152.90,3240.00
long_walk,5,19,1470.00,2261.70,6560.00
long_walk,6,0,2400.00,2728.60,3360.00
long_walk,6,1,2400.00,2553.20,2880.00
long_walk,6,2,2300.00,2463.60,3240.00
long_walk,6,3,2400.00,2450.30,3480.00
long_walk,6,4,2400.00,2424.20,3020.00
long_walk,6,5,2400.00,2421.60,2880.00
long_walk,6,6,2400.00,2400.00,2400.00
long_walk,6,7,2300.00,2409.80,2880.00
long_walk,6,8,2300.00,2416.50,2940.00
long_walk,6,9,1920.00,2397.40,2880.00
long_walk,6,10,1920.00,2383.20,3480.00
long_walk,6,11,1580.00,2331.90,3240.00
long_walk,6,12,1580.00,2253.80,2880.00
long_walk,6,13,1580.00,2182.30,3320.00
long_walk,6,14,1480.00,1996.20,2880.00
long_walk,6,15,1480.00,1895.10,5140.00
long_walk,6,16,940.00,1774.40,5020.00
long_walk,6,17,940.00,1743.60,6460.00
long_walk,6,18,940.00,1628.40,8220.00
long_walk,6,19,940.00,1568.10,5140.00
long_walk,7,0,2400.00,2749.70,3800.00
long_walk,7,1,2400.00,2632.30,4120.00
long_walk,7,2,2300.00,2467.00,2880.00
long_walk,7,3,2300.00,2460.20,3480.00
long_walk,7,4,2020.00,2458.80,3480.00
long_walk,7,5,1860.00,2428.20,3480.00
long_walk,7,6,1860.00,2397.30,3340.00
long_walk,7,7,1860.00,2357.40,3800.00
long_walk,7,8,1280.00,2290.10,5180.00
long_walk,7,9,1280.00,2109.80,2880.00
long_walk,7,10,1100.00,1987.30,4860.00
long_walk,7,11,1100.00,1851.60,4120.00
long_walk,7,12,1100.00,1636.60,3580.00
long_walk,7,13,1100.00,1497.40,3020.00
long_walk,7,14,1100.00,1426.40,3900.00
long_walk,7,15,860.00,1578.20,4380.00
long_walk,7,16,700.00,1390.00,4160.00
long_walk,7,17,700.00,1505.90,4240.00
long_walk,7,18,700.00,1266.40,3220.00
long_walk,7,19,700.00,1267.40,4080.00
long_walk,8,0,2400.00,2739.60,2880.00
long_walk,8,1,2040.00,2595.60,2880.00
long_walk,8,2,2040.00,2469.90,2880.00
long_walk,8,3,2040.00,2429.80,2880.00
long_walk,8,4,2040.00,2418.80,3320.00
long_walk,8,5,2040.00,2410.40,4600.00
long_walk,8,6,1620.00,2353.80,4860.00
long_walk,8,7,1620.00,2244.20,4860.00
long_walk,8,8,1620.00,2161.60,3480.00
long_walk,8,9,1380.00,2166.60,3440.00
long_walk,8,10,1380.00,2221.30,4560.00
long_walk,8,11,1380.00,2181.00,7620.00
long_walk,8,12,980.00,2126.90,6840.00
long_walk,8,13,980.00,1914.70,7620.00
long_walk,8,14,980.00,1802.20,7220.00
long_walk,8,15,980.00,1777.60,7320.00
long_walk,8,16,920.00,1756.90,10760.00
long_walk,8,17,920.00,1591.60,7620.00
long_walk,8,18,920.00,1377.90,6060.00
long_walk,8,19,780.00,1360.40,8340.00
long_walk,9,0,2400.00,2730.00,3480.00
long_walk,9,1,2400.00,2596.70,3960.00
long_walk,9,2,2400.00,2467.00,2880.00
long_walk,9,3,2100.00,2456.20,2880.00
long_walk,9,4,2100.00,2421.20,2880.00
long_walk,9,5,2100.00,2460.70,5180.00
long_walk,9,6,1660.00,2382.40,2880.00
long_walk,9,7,1660.00,2360.70,3800.00
long_walk,9,8,1520.00,2161.10,3520.00
long_walk,9,9,1160.00,2074.40,9340.00
long_walk,9,10,1160.00,1857.40,3840.00
long_walk,9,11,1160.00,1764.60,4100.00
long_walk,9,12,1160.00,1761.70,6760.00
long_walk,9,13,1140.00,1663.90,5200.00
long_walk,9,14,880.00,1615.20,7020.00
long_walk,9,15,1160.00,1539.30,6040.00
long_walk,9,16,1160.00,1626.40,7240.00
long_walk,9,17,1160.00,1440.60,5740.00
long_walk,9,18,1160.00,1520.90,7240.00
long_walk,9,19,1160.00,1391.00,3640.00
long_walk,10,0,2400.00,2744.20,4000.00
long_walk,10,1,2300.00,2597.00,4000.00
long_walk,10,2,2300.00,2556.60,7860.00
long_walk,10,3,2300.00,2422.10,3240.00
long_walk,10,4,1280.00,2381.70,3480.00
long_walk,10,5,1280.00,2365.30,5340.00
long_walk,10,6,1280.00,2308.10,3320.00
long_walk,10,7,1160.00,2200.20,3260.00
long_walk,10,8,1160.00,2027.90,2880.00
long_walk,10,9,1160.00,1797.30,3320.00
long_walk,10,10,1160.00,1619.30,5640.00
long_walk,10,11,1160.00,1590.90,5020.00
long_walk,10,12,1160.00,1378.80,2880.00
long_walk,10,13,1160.00,1449.00,6280.00
long_walk,10,14,1160.00,1478.60,6980.00
long_walk,10,15,1160.00,1589.70,10120.00
long_walk,10,16,1160.00,1384.40,6460.00
long_walk,10,17,1160.00,1493.90,5500.00
long_walk,10,18,1160.00,1586.10,7420.00
long_walk,10,19,1160.00,1417.70,8080.00
short_walk,1,0,320.00,810.60,960.00
short_walk,1,1,320.00,684.40,1180.00
short_walk,1,2,320.00,609.60,3160.00
short_walk,1,3,320.00,503.50,1400.00
short_walk,1,4,320.00,542.70,2980.00
short_walk,1,5,320.00,520.80,3360.00
short_walk,1,6,240.00,438.20,1660.00
short_walk,1,7,60.00,403.60,1760.00
short_walk,1,8,130.00,407.20,2000.00
short_walk,1,9,130.00,421.20,4120.00
short_walk,1,10,60.00,414.60,2980.00
short_walk,1,11,60.00,353.60,2500.00
short_walk,1,12,60.00,332.70,1160.00
short_walk,1,13,60.00,361.20,1920.00
short_walk,1,14,60.00,424.40,3460.00
short_walk,1,15,60.00,346.50,3360.00
short_walk,1,16,60.00,410.80,6720.00
short_walk,1,17,60.00,323.50,3460.00
short_walk,1,18,0.00,286.40,2260.00
short_walk,2,0,480.00,839.40,2440.00
short_walk,2,1,480.00,730.80,3640.00
short_walk,2,2,480.00,545.60,960.00
short_walk,2,3,380.00,527.90,1280.00
short_walk,2,4,380.00,495.60,960.00
short_walk,2,5,160.00,510.60,960.00
