walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1720.00,2489.80,2640.00
long_walk,1,1,1720.00,2348.50,2860.00
long_walk,1,2,1720.00,2239.90,3880.00
long_walk,1,3,1720.00,2179.30,2640.00
long_walk,1,4,1220.00,2141.80,3420.00
long_walk,1,5,1220.00,2000.40,3260.00
long_walk,1,6,1120.00,1894.50,4300.00
long_walk,1,7,1120.00,1622.30,3400.00
long_walk,1,8,680.00,1490.80,3610.00
long_walk,1,9,680.00,1372.10,5000.00
long_walk,1,10,680.00,1398.10,5880.00
long_walk,1,11,680.00,1354.30,4020.00
long_walk,1,12,680.00,1244.10,4480.00
long_walk,1,13,680.00,1203.80,4080.00
long_walk,1,14,680.00,1236.80,5280.00
long_walk,1,15,680.00,1319.00,6560.00
long_walk,1,16,680.00,1024.80,5060.00
long_walk,1,17,680.00,1031.30,5580.00
long_walk,1,18,680.00,1015.00,5200.00
long_walk,1,19,680.00,1033.00,7660.00
long_walk,2,0,2180.00,2517.20,3900.00
long_walk,2,1,2180.00,2422.00,7180.00
long_walk,2,2,2180.00,2259.00,2700.00
long_walk,2,3,2180.00,2232.00,2640.00
long_walk,2,4,2180.00,2226.00,3420.00
long_walk,2,5,2120.00,2206.80,2640.00
long_walk,2,6,2120.00,2238.60,4220.00
long_walk,2,7,1130.00,2218.90,3180.00
long_walk,2,8,2020.00,2210.60,3060.00
long_walk,2,9,1560.00,2200.60,3500.00
long_walk,2,10,1560.00,2132.00,3220.00
long_walk,2,11,1560.00,2123.40,3800.00
long_walk,2,12,1500.00,1996.10,5980.00
long_walk,2,13,1140.00,1864.10,2820.00
long_walk,2,14,1140.00,1774.20,4920.00
long_walk,2,15,1140.00,1671.20,6000.00
long_walk,2,16,1140.00,1692.20,4700.00
long_walk,2,17,1020.00,1544.30,5860.00
long_walk,2,18,1020.00,1540.60,5590.00
long_walk,2,19,1020.00,1465.20,6880.00
long_walk,3,0,2200.00,2496.80,2640.00
long_walk,3,1,2200.00,2373.60,2920.00
long_walk,3,2,2200.00,2255.00,2640.00
long_walk,3,3,2120.00,2260.60,5420.00
long_walk,3,4,2120.00,2205.40,2640.00
long_walk,3,5,2120.00,2217.20,3160.00
long_walk,3,6,2060.00,2207.00,4040.00
long_walk,3,7,2060.00,2207.10,4040.00
long_walk,3,8,2040.00,2218.10,5240.00
long_walk,3,9,1940.00,2150.20,4740.00
long_walk,3,10,1900.00,2149.60,4740.00
long_walk,3,11,1780.00,2080.40,2360.00
long_walk,3,12,1420.00,2071.20,3640.00
long_walk,3,13,1420.00,2097.50,5420.00
long_walk,3,14,1420.00,1918.30,3460.00
long_walk,3,15,1340.00,1877.50,6280.00
long_walk,3,16,990.00,1787.00,6540.00
long_walk,3,17,990.00,1658.00,4360.00
long_walk,3,18,990.00,1606.30,6740.00
long_walk,3,19,920.00,1590.50,8500.00
long_walk,4,0,2200.00,2546.00,3720.00
long_walk,4,1,2200.00,2389.80,2640.00
long_walk,4,2,2120.00,2291.50,3240.00
long_walk,4,3,2120.00,2256.30,4340.00
long_walk,4,4,2120.00,2240.80,3420.00
long_walk,4,5,2120.00,2211.30,3200.00
long_walk,4,6,1560.00,2188.70,2640.00
long_walk,4,7,1220.00,2140.40,2640.00
long_walk,4,8,1220.00,2014.40,2640.00
long_walk,4,9,1220.00,1907.60,6760.00
long_walk,4,10,1140.00,1515.40,2660.00
long_walk,4,11,1140.00,1389.90,4560.00
long_walk,4,12,1140.00,1438.90,8080.00
long_walk,4,13,1140.00,1349.20,7200.00
long_walk,4,14,1140.00,1375.10,3620.00
long_walk,4,15,1140.00,1348.00,5280.00
long_walk,4,16,1140.00,1429.70,5880.00
long_walk,4,17,1140.00,1406.60,6620.00
long_walk,4,18,1140.00,1436.00,5020.00
long_walk,4,19,1140.00,1477.00,5880.00
long_walk,5,0,2200.00,2489.60,2640.00
long_walk,5,1,2200.00,2434.20,6220.00
long_walk,5,2,2200.00,2264.50,3420.00
long_walk,5,3,2200.00,2251.10,3420.00
long_walk,5,4,2200.00,2229.00,2640.00
long_walk,5,5,2120.00,2242.20,3420.00
long_walk,5,6,1840.00,2236.80,3420.00
long_walk,5,7,1840.00,2198.10,2640.00
long_walk,5,8,1840.00,2205.60,3160.00
long_walk,5,9,1840.00,2156.70,2640.00
