walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1760.00,2489.00,2640.00
long_walk,1,1,1760.00,2335.40,2640.00
long_walk,1,2,1760.00,2215.70,3080.00
long_walk,1,3,1120.00,2148.40,2840.00
long_walk,1,4,680.00,2053.90,3040.00
long_walk,1,5,680.00,1787.10,2640.00
long_walk,1,6,680.00,1587.40,2640.00
long_walk,1,7,680.00,1341.00,3340.00
long_walk,1,8,500.00,1137.20,3100.00
long_walk,1,9,500.00,955.40,4340.00
long_walk,1,10,500.00,1031.20,4780.00
long_walk,1,11,500.00,972.80,7960.00
long_walk,1,12,500.00,842.20,2640.00
long_walk,1,13,500.00,804.20,2640.00
long_walk,1,14,500.00,802.30,2820.00
long_walk,1,15,500.00,808.40,5080.00
long_walk,1,16,500.00,728.70,2640.00
long_walk,1,17,500.00,728.90,1960.00
long_walk,1,18,500.00,754.70,4240.00
long_walk,1,19,500.00,743.20,2960.00
long_walk,2,0,1680.00,2505.60,3900.00
long_walk,2,1,1210.00,2360.80,2640.00
long_walk,2,2,1210.00,2236.00,2700.00
long_walk,2,3,620.00,2133.20,2640.00
long_walk,2,4,620.00,2003.70,2360.00
long_walk,2,5,620.00,1785.50,3200.00
long_walk,2,6,620.00,1404.70,3270.00
long_walk,2,7,460.00,1175.00,4880.00
long_walk,2,8,420.00,973.20,3340.00
long_walk,2,9,420.00,830.20,2370.00
long_walk,2,10,420.00,791.90,6720.00
long_walk,2,11,420.00,792.90,9660.00
long_walk,2,12,420.00,723.00,3540.00
long_walk,2,13,420.00,732.70,3460.00
long_walk,2,14,420.00,710.20,10080.00
long_walk,2,15,420.00,675.90,6290.00
long_walk,2,16,420.00,665.40,2260.00
long_walk,2,17,420.00,575.40,2260.00
long_walk,2,18,420.00,610.50,2700.00
long_walk,2,19,420.00,707.60,8420.00
long_walk,3,0,2000.00,2491.00,2640.00
long_walk,3,1,2000.00,2355.80,2960.00
long_walk,3,2,1840.00,2218.20,3300.00
long_walk,3,3,1140.00,2126.40,4200.00
long_walk,3,4,1140.00,1954.00,2640.00
long_walk,3,5,1120.00,1831.30,2640.00
long_walk,3,6,1120.00,1758.00,2640.00
long_walk,3,7,460.00,1581.80,3980.00
long_walk,3,8,460.00,1417.00,2850.00
long_walk,3,9,460.00,1347.70,6460.00
long_walk,3,10,420.00,1126.30,2640.00
long_walk,3,11,360.00,1020.30,8040.00
long_walk,3,12,400.00,817.80,2820.00
long_walk,3,13,420.00,819.00,2820.00
long_walk,3,14,420.00,811.10,4220.00
long_walk,3,15,420.00,830.00,2800.00
long_walk,3,16,420.00,765.60,8160.00
long_walk,3,17,420.00,766.10,2800.00
long_walk,3,18,420.00,681.40,2640.00
long_walk,3,19,420.00,858.90,2800.00
long_walk,4,0,1260.00,2521.40,2640.00
long_walk,4,1,2200.00,2389.40,2640.00
long_walk,4,2,1720.00,2273.60,3300.00
long_walk,4,3,1660.00,2201.30,2700.00
long_walk,4,4,1660.00,2185.00,4930.00
long_walk,4,5,1240.00,2037.70,2640.00
long_walk,4,6,1100.00,1931.10,3600.00
long_walk,4,7,800.00,1791.80,3420.00
long_walk,4,8,800.00,1676.40,7960.00
long_walk,4,9,800.00,1529.80,3560.00
long_walk,4,10,600.00,1390.90,9620.00
long_walk,4,11,600.00,1177.00,9700.00
long_walk,4,12,570.00,1037.50,10180.00
long_walk,4,13,600.00,923.40,8200.00
long_walk,4,14,600.00,994.70,4500.00
long_walk,4,15,440.00,839.50,2640.00
long_walk,4,16,600.00,871.20,2740.00
long_walk,4,17,600.00,885.10,8100.00
