walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1740.00,2477.20,2620.00
long_walk,1,1,1740.00,2329.20,2620.00
long_walk,1,2,1740.00,2201.60,2620.00
long_walk,1,3,1380.00,2166.00,2820.00
long_walk,1,4,540.00,2052.60,2700.00
long_walk,1,5,540.00,1807.60,2620.00
long_walk,1,6,540.00,1570.20,8340.00
long_walk,1,7,540.00,1383.00,8920.00
long_walk,1,8,540.00,957.40,8020.00
long_walk,1,9,540.00,783.20,3180.00
long_walk,1,10,480.00,825.00,3800.00
long_walk,1,11,480.00,900.40,3940.00
long_walk,1,12,480.00,814.20,4460.00
long_walk,1,13,360.00,709.20,4900.00
long_walk,1,14,360.00,728.80,4400.00
long_walk,1,15,360.00,833.00,5660.00
long_walk,1,16,360.00,841.60,3580.00
long_walk,1,17,360.00,750.00,3600.00
long_walk,1,18,360.00,742.20,2620.00
long_walk,1,19,360.00,675.60,4000.00
long_walk,2,0,1620.00,2492.60,3900.00
long_walk,2,1,1080.00,2353.00,2620.00
long_walk,2,2,1080.00,2231.20,2700.00
long_walk,2,3,440.00,2119.40,2620.00
long_walk,2,4,440.00,1977.60,2360.00
long_walk,2,5,440.00,1723.00,3180.00
long_walk,2,6,440.00,1299.60,3260.00
long_walk,2,7,240.00,992.40,3740.00
long_walk,2,8,240.00,718.00,2420.00
long_walk,2,9,240.00,598.80,3240.00
long_walk,2,10,180.00,507.40,3860.00
long_walk,2,11,180.00,565.00,2760.00
long_walk,2,12,180.00,540.00,4840.00
long_walk,2,13,180.00,483.80,4000.00
long_walk,2,14,180.00,461.60,6320.00
long_walk,2,15,180.00,432.40,2260.00
long_walk,2,16,180.00,425.80,2260.00
long_walk,2,17,160.00,440.40,3500.00
long_walk,2,18,160.00,370.20,3500.00
long_walk,2,19,160.00,483.20,7600.00
long_walk,3,0,1960.00,2479.20,2620.00
long_walk,3,1,1960.00,2348.80,2960.00
long_walk,3,2,1800.00,2210.80,3300.00
long_walk,3,3,1040.00,2107.40,4020.00
long_walk,3,4,1040.00,1918.40,2620.00
long_walk,3,5,1000.00,1785.60,2620.00
long_walk,3,6,1000.00,1706.20,2620.00
long_walk,3,7,320.00,1509.00,3820.00
long_walk,3,8,240.00,1396.60,6960.00
long_walk,3,9,240.00,1138.40,5120.00
long_walk,3,10,240.00,1091.40,5120.00
long_walk,3,11,240.00,968.20,4940.00
long_walk,3,12,240.00,615.20,2620.00
long_walk,3,13,240.00,657.40,2620.00
long_walk,3,14,240.00,586.80,2620.00
long_walk,3,15,240.00,610.40,2620.00
long_walk,3,16,240.00,520.40,2620.00
long_walk,3,17,240.00,585.20,4380.00
long_walk,3,18,240.00,595.40,2620.00
long_walk,3,19,240.00,682.80,2620.00
long_walk,4,0,1140.00,2507.00,2620.00
long_walk,4,1,2200.00,2384.40,2620.00
long_walk,4,2,1660.00,2270.60,3300.00
long_walk,4,3,1600.00,2196.80,2700.00
long_walk,4,4,1600.00,2175.00,4860.00
long_walk,4,5,1120.00,2016.20,2620.00
long_walk,4,6,920.00,1890.20,3300.00
long_walk,4,7,680.00,1735.80,3420.00
long_walk,4,8,680.00,1592.40,7540.00
long_walk,4,9,680.00,1437.20,3180.00
long_walk,4,10,680.00,1378.40,9320.00
long_walk,4,11,480.00,1062.40,2620.00
long_walk,4,12,480.00,1078.00,10840.00
long_walk,4,13,480.00,794.20,2620.00
long_walk,4,14,480.00,944.60,8220.00
long_walk,4,15,480.00,903.40,9180.00
long_walk,4,16,420.00,868.60,5120.00
long_walk,4,17,420.00,674.80,3600.00
long_walk,4,18,420.00,686.00,7620.00
long_walk,4,19,420.00,724.60,7620.00
long_walk,5,0,1960.00,2472.00,2620.00
long_walk,5,1,1960.00,2360.00,3900.00
long_walk,5,2,1380.00,2232.00,3420.00
long_walk,5,3,1380.00,2153.20,3420.00
long_walk,5,4,1140.00,2006.00,2620.00
long_walk,5,5,340.00,1887.60,7020.00
long_walk,5,6,340.00,1663.40,4500.00
long_walk,5,7,340.00,1265.00,2620.00
long_walk,5,8,340.00,1198.60,4900.00
long_walk,5,9,340.00,1096.80,6020.00
long_walk,5,10,280.00,915.80,3160.00
long_walk,5,11,280.00,1226.40,8160.00
long_walk,5,12,240.00,998.60,6360.00
long_walk,5,13,160.00,834.80,5560.00
long_walk,5,14,160.00,891.60,5980.00
long_walk,5,15,160.00,767.60,7800.00
long_walk,5,16,160.00,669.40,2680.00
long_walk,5,17,160.00,532.60,3920.00
long_walk,5,18,160.00,594.60,2620.00
long_walk,5,19,160.00,634.20,7200.00
