walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1740.00,2677.60,2880.00
long_walk,1,1,1740.00,2516.30,2880.00
long_walk,1,2,1740.00,2410.70,2880.00
long_walk,1,3,980.00,2388.90,2880.00
long_walk,1,4,980.00,2248.80,2880.00
long_walk,1,5,980.00,2116.90,2920.00
long_walk,1,6,620.00,1833.90,3500.00
long_walk,1,7,520.00,1589.80,2880.00
long_walk,1,8,520.00,1312.70,2900.00
long_walk,1,9,350.00,1170.50,3860.00
long_walk,1,10,350.00,1182.20,2940.00
long_walk,1,11,350.00,1024.70,3980.00
long_walk,1,12,350.00,809.40,6380.00
long_walk,1,13,350.00,824.30,4460.00
long_walk,1,14,260.00,839.40,4660.00
long_walk,1,15,350.00,914.60,5340.00
long_walk,1,16,260.00,766.40,3980.00
long_walk,1,17,260.00,736.90,2440.00
long_walk,1,18,260.00,741.80,3620.00
long_walk,1,19,240.00,585.30,2780.00
long_walk,2,0,1340.00,2672.80,2880.00
long_walk,2,1,1340.00,2490.20,2880.00
long_walk,2,2,1280.00,2379.50,2880.00
long_walk,2,3,1020.00,2256.90,2880.00
long_walk,2,4,1020.00,2049.00,2880.00
long_walk,2,5,1020.00,1833.00,9760.00
long_walk,2,6,680.00,1482.50,5620.00
long_walk,2,7,560.00,1182.10,4380.00
long_walk,2,8,420.00,1099.00,9760.00
long_walk,2,9,400.00,917.90,2200.00
long_walk,2,10,400.00,830.90,4540.00
long_walk,2,11,400.00,725.50,6880.00
long_walk,2,12,400.00,699.40,4500.00
long_walk,2,13,400.00,682.80,4660.00
long_walk,2,14,320.00,713.00,5140.00
long_walk,2,15,400.00,664.50,7060.00
long_walk,2,16,400.00,783.10,6760.00
long_walk,2,17,400.00,629.70,4660.00
long_walk,2,18,400.00,612.00,5380.00
long_walk,2,19,400.00,756.80,6280.00
long_walk,3,0,2080.00,2682.40,2880.00
long_walk,3,1,1280.00,2505.10,2880.00
long_walk,3,2,1280.00,2310.40,2880.00
long_walk,3,3,1220.00,2205.00,6760.00
long_walk,3,4,1220.00,1812.60,2880.00
long_walk,3,5,1220.00,1616.40,6480.00
long_walk,3,6,1220.00,1380.80,3640.00
long_walk,3,7,1060.00,1326.80,2520.00
long_walk,3,8,1060.00,1344.10,4580.00
long_walk,3,9,1060.00,1461.80,9100.00
long_walk,3,10,1060.00,1359.60,6440.00
long_walk,3,11,960.00,1363.70,6440.00
long_walk,3,12,700.00,1314.60,6280.00
long_walk,3,13,700.00,1192.30,5340.00
long_walk,3,14,600.00,1209.30,4960.00
long_walk,3,15,600.00,1121.50,9120.00
long_walk,3,16,600.00,879.40,2440.00
long_walk,3,17,600.00,874.50,4880.00
long_walk,3,18,600.00,808.80,5220.00
long_walk,3,19,600.00,881.20,7980.00
long_walk,4,0,1420.00,2715.80,2880.00
long_walk,4,1,1320.00,2513.20,2880.00
long_walk,4,2,1080.00,2352.60,2880.00
long_walk,4,3,920.00,2217.60,2880.00
long_walk,4,4,920.00,1914.40,2880.00
long_walk,4,5,920.00,1626.30,6440.00
long_walk,4,6,920.00,1251.50,4580.00
long_walk,4,7,800.00,1138.10,2530.00
long_walk,4,8,460.00,1253.20,3940.00
long_walk,4,9,800.00,1207.90,4760.00
long_walk,4,10,320.00,1150.30,3700.00
long_walk,4,11,320.00,1224.40,4440.00
long_walk,4,12,320.00,1117.00,5800.00
