walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1600.00,2455.60,2640.00
long_walk,1,1,1600.00,2308.50,2640.00
long_walk,1,2,1600.00,2211.60,2640.00
long_walk,1,3,920.00,2191.70,2640.00
long_walk,1,4,920.00,2065.50,2640.00
long_walk,1,5,920.00,1948.30,2700.00
long_walk,1,6,520.00,1641.10,2640.00
long_walk,1,7,600.00,1488.70,7020.00
long_walk,1,8,500.00,1155.60,2680.00
long_walk,1,9,360.00,1021.00,3240.00
long_walk,1,10,360.00,1018.70,6330.00
long_walk,1,11,360.00,843.30,3240.00
long_walk,1,12,360.00,855.70,2640.00
long_walk,1,13,360.00,754.30,3060.00
long_walk,1,14,360.00,776.60,3220.00
long_walk,1,15,420.00,930.00,4120.00
long_walk,1,16,380.00,748.80,4120.00
long_walk,1,17,380.00,762.70,3600.00
long_walk,1,18,290.00,728.50,3240.00
long_walk,1,19,380.00,704.40,5360.00
long_walk,2,0,1280.00,2451.80,2640.00
long_walk,2,1,1280.00,2285.90,2640.00
long_walk,2,2,1220.00,2185.20,2640.00
long_walk,2,3,980.00,2076.70,2640.00
long_walk,2,4,980.00,1892.40,2640.00
long_walk,2,5,980.00,1704.50,9000.00
long_walk,2,6,420.00,1468.70,11280.00
long_walk,2,7,540.00,1180.30,4220.00
long_walk,2,8,460.00,1021.40,4920.00
long_walk,2,9,400.00,907.40,4190.00
long_walk,2,10,400.00,880.90,4220.00
long_walk,2,11,400.00,804.50,4520.00
long_walk,2,12,320.00,674.60,2940.00
long_walk,2,13,320.00,714.70,3580.00
long_walk,2,14,320.00,895.80,16480.00
long_walk,2,15,320.00,663.10,7980.00
long_walk,2,16,320.00,658.60,5960.00
long_walk,2,17,320.00,602.00,4620.00
long_walk,2,18,320.00,607.40,16480.00
long_walk,2,19,320.00,524.60,4260.00
long_walk,3,0,1920.00,2460.00,2640.00
long_walk,3,1,1220.00,2299.10,2640.00
long_walk,3,2,1220.00,2123.60,2640.00
long_walk,3,3,1160.00,2032.20,6280.00
long_walk,3,4,1160.00,1718.80,2640.00
long_walk,3,5,1030.00,1469.30,2640.00
long_walk,3,6,1030.00,1299.30,2520.00
long_walk,3,7,1030.00,1360.40,6740.00
long_walk,3,8,780.00,1223.00,2240.00
long_walk,3,9,780.00,1340.90,5970.00
long_walk,3,10,680.00,1215.20,2430.00
long_walk,3,11,680.00,1150.10,2430.00
long_walk,3,12,610.00,1056.00,4220.00
long_walk,3,13,520.00,989.30,4420.00
long_walk,3,14,480.00,852.80,2550.00
long_walk,3,15,440.00,884.40,4220.00
long_walk,3,16,440.00,803.70,2940.00
long_walk,3,17,430.00,757.90,2430.00
long_walk,3,18,350.00,777.70,5770.00
long_walk,3,19,310.00,927.00,10700.00
long_walk,4,0,1340.00,2490.60,2640.00
long_walk,4,1,1240.00,2305.60,2640.00
long_walk,4,2,1020.00,2159.50,2640.00
long_walk,4,3,860.00,2038.30,2640.00
long_walk,4,4,860.00,1769.70,2640.00
long_walk,4,5,860.00,1514.80,5960.00
long_walk,4,6,860.00,1158.30,2640.00
long_walk,4,7,660.00,1083.30,3420.00
long_walk,4,8,440.00,1087.70,3640.00
long_walk,4,9,440.00,958.20,4570.00
long_walk,4,10,440.00,844.90,2640.00
long_walk,4,11,420.00,827.40,3860.00
long_walk,4,12,410.00,799.30,6780.00
long_walk,4,13,420.00,708.30,3160.00
long_walk,4,14,420.00,793.10,2780.00
long_walk,4,15,300.00,751.60,3420.00
long_walk,4,16,410.00,712.20,3200.00
long_walk,4,17,410.00,722.40,6480.00
long_walk,4,18,320.00,744.00,6600.00
long_walk,4,19,320.00,692.80,6480.00
long_walk,5,0,1920.00,2459.00,2640.00
long_walk,5,1,1280.00,2312.00,2640.00
long_walk,5,2,1160.00,2157.80,2640.00
long_walk,5,3,1080.00,2035.00,2640.00
long_walk,5,4,1080.00,1800.40,2640.00
long_walk,5,5,1080.00,1539.50,2640.00
long_walk,5,6,1020.00,1389.00,5960.00
long_walk,5,7,1020.00,1237.50,2220.00
long_walk,5,8,1000.00,1203.20,2240.00
long_walk,5,9,860.00,1193.20,2640.00
long_walk,5,10,700.00,1200.30,4100.00
