walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1640.00,2456.00,2640.00
long_walk,1,1,1640.00,2309.20,2640.00
long_walk,1,2,1640.00,2213.10,2640.00
long_walk,1,3,1020.00,2191.30,2640.00
long_walk,1,4,1020.00,2049.20,2640.00
long_walk,1,5,1000.00,1888.60,2640.00
long_walk,1,6,400.00,1719.90,5300.00
long_walk,1,7,900.00,1493.40,4260.00
long_walk,1,8,420.00,1325.00,3260.00
long_walk,1,9,400.00,1178.30,5540.00
long_walk,1,10,400.00,1269.10,6920.00
long_walk,1,11,400.00,1094.70,3120.00
long_walk,1,12,400.00,1025.30,2640.00
long_walk,1,13,400.00,907.70,3120.00
long_walk,1,14,400.00,1087.00,2700.00
long_walk,1,15,400.00,1081.00,2640.00
long_walk,1,16,400.00,1001.40,7240.00
long_walk,1,17,360.00,911.60,4400.00
long_walk,1,18,380.00,858.90,3740.00
long_walk,1,19,360.00,630.90,3040.00
long_walk,2,0,1280.00,2451.60,2640.00
long_walk,2,1,1280.00,2286.10,2640.00
long_walk,2,2,1220.00,2185.90,2640.00
long_walk,2,3,940.00,2078.40,2640.00
long_walk,2,4,940.00,1888.20,2640.00
long_walk,2,5,600.00,1540.60,3620.00
long_walk,2,6,600.00,1319.70,4560.00
long_walk,2,7,600.00,1050.80,3860.00
long_walk,2,8,400.00,887.50,2480.00
long_walk,2,9,400.00,996.40,4680.00
long_walk,2,10,360.00,813.00,2640.00
long_walk,2,11,360.00,723.70,4100.00
long_walk,2,12,340.00,753.30,4440.00
long_walk,2,13,360.00,701.40,3040.00
long_walk,2,14,340.00,796.20,6280.00
long_walk,2,15,340.00,589.10,5680.00
long_walk,2,16,360.00,747.90,5680.00
long_walk,2,17,360.00,682.50,5300.00
long_walk,2,18,360.00,657.70,2540.00
long_walk,2,19,360.00,698.20,6220.00
long_walk,3,0,1880.00,2459.60,2640.00
long_walk,3,1,1160.00,2295.80,2640.00
long_walk,3,2,1160.00,2123.10,2640.00
long_walk,3,3,860.00,1933.60,2640.00
long_walk,3,4,860.00,1683.00,2640.00
long_walk,3,5,510.00,1379.10,2640.00
long_walk,3,6,510.00,1140.00,2640.00
long_walk,3,7,510.00,1076.30,2640.00
long_walk,3,8,510.00,973.90,2420.00
long_walk,3,9,510.00,1023.10,4320.00
long_walk,3,10,400.00,927.00,2640.00
long_walk,3,11,400.00,747.80,3900.00
long_walk,3,12,420.00,736.90,3310.00
long_walk,3,13,360.00,691.70,2240.00
long_walk,3,14,360.00,679.10,3020.00
long_walk,3,15,360.00,642.60,6680.00
long_walk,3,16,360.00,606.10,3140.00
long_walk,3,17,360.00,568.50,5860.00
long_walk,3,18,360.00,535.90,3020.00
long_walk,3,19,360.00,524.80,2200.00
long_walk,4,0,1140.00,2488.60,2640.00
long_walk,4,1,1140.00,2304.60,2640.00
long_walk,4,2,1020.00,2155.70,2640.00
long_walk,4,3,740.00,2081.60,2640.00
long_walk,4,4,740.00,1892.90,2640.00
long_walk,4,5,740.00,1514.80,2640.00
long_walk,4,6,600.00,1297.70,3660.00
long_walk,4,7,600.00,1150.90,3700.00
long_walk,4,8,440.00,1176.90,5750.00
long_walk,4,9,440.00,1043.40,4840.00
long_walk,4,10,440.00,884.60,3820.00
long_walk,4,11,400.00,796.00,3700.00
long_walk,4,12,360.00,767.10,5240.00
long_walk,4,13,360.00,647.10,3980.00
long_walk,4,14,400.00,621.80,4160.00
long_walk,4,15,360.00,689.60,2640.00
long_walk,4,16,400.00,768.30,5760.00
long_walk,4,17,400.00,706.80,5240.00
long_walk,4,18,400.00,800.30,3260.00
long_walk,4,19,400.00,591.10,2640.00
long_walk,5,0,1880.00,2458.60,2640.00
long_walk,5,1,1280.00,2308.40,2640.00
long_walk,5,2,1160.00,2153.20,2640.00
long_walk,5,3,860.00,2020.90,2640.00
long_walk,5,4,860.00,1780.40,2640.00
long_walk,5,5,860.00,1503.30,2640.00
long_walk,5,6,800.00,1312.40,5900.00
long_walk,5,7,800.00,1167.90,2240.00
long_walk,5,8,520.00,1090.00,2240.00
long_walk,5,9,520.00,1022.70,2200.00
long_walk,5,10,340.00,959.80,2640.00
long_walk,5,11,340.00,863.60,3590.00
long_walk,5,12,340.00,894.00,5580.00
long_walk,5,13,340.00,746.30,4440.00
long_walk,5,14,340.00,685.40,2640.00
long_walk,5,15,280.00,742.70,5060.00
long_walk,5,16,280.00,572.50,2980.00
long_walk,5,17,280.00,670.50,5180.00
long_walk,5,18,280.00,527.20,2640.00
long_walk,5,19,280.00,592.90,5140.00
long_walk,6,0,1160.00,2455.80,2640.00
long_walk,6,1,1160.00,2189.40,2640.00
long_walk,6,2,1120.00,2020.40,2640.00
long_walk,6,3,1120.00,1699.00,4180.00
long_walk,6,4,600.00,1310.30,3540.00
long_walk,6,5,600.00,1268.40,3240.00
long_walk,6,6,600.00,1293.70,4560.00
long_walk,6,7,600.00,1169.80,3240.00
long_walk,6,8,580.00,975.70,3140.00
long_walk,6,9,580.00,911.20,3240.00
long_walk,6,10,580.00,886.90,8820.00
long_walk,6,11,580.00,870.90,2640.00
long_walk,6,12,580.00,840.00,2640.00
long_walk,6,13,540.00,823.90,7980.00
long_walk,6,14,500.00,834.30,8000.00
long_walk,6,15,500.00,917.00,7900.00
long_walk,6,16,500.00,799.30,4400.00
long_walk,6,17,500.00,816.90,2720.00
long_walk,6,18,500.00,781.50,2640.00
long_walk,6,19,500.00,713.70,2640.00
long_walk,7,0,1140.00,2476.90,2640.00
long_walk,7,1,1140.00,2333.70,2640.00
long_walk,7,2,1140.00,2153.60,2640.00
long_walk,7,3,1020.00,2012.60,2640.00
long_walk,7,4,740.00,1701.20,2640.00
long_walk,7,5,740.00,1344.30,4260.00
long_walk,7,6,320.00,1174.40,2640.00
long_walk,7,7,320.00,1159.80,5240.00
long_walk,7,8,320.00,1051.80,6160.00
long_walk,7,9,320.00,822.30,2640.00
long_walk,7,10,320.00,717.20,2640.00
long_walk,7,11,320.00,743.80,2640.00
long_walk,7,12,320.00,643.20,2640.00
long_walk,7,13,320.00,588.00,2150.00
long_walk,7,14,320.00,538.00,3460.00
long_walk,7,15,320.00,619.70,2130.00
long_walk,7,16,320.00,624.50,2640.00
long_walk,7,17,320.00,611.30,2300.00
long_walk,7,18,320.00,594.10,2640.00
long_walk,7,19,320.00,562.60,2640.00
long_walk,8,0,2060.00,2481.80,2640.00
long_walk,8,1,1020.00,2303.20,2640.00
long_walk,8,2,1020.00,2168.80,2640.00
long_walk,8,3,1020.00,1977.70,2640.00
long_walk,8,4,1020.00,1797.20,2640.00
long_walk,8,5,740.00,1597.90,4220.00
long_walk,8,6,740.00,1195.30,2640.00
long_walk,8,7,740.00,1177.70,4840.00
long_walk,8,8,540.00,1227.40,4840.00
long_walk,8,9,460.00,1183.20,3740.00
long_walk,8,10,380.00,1104.50,3880.00
long_walk,8,11,380.00,892.20,3660.00
long_walk,8,12,380.00,988.00,5220.00
long_walk,8,13,340.00,791.70,4480.00
long_walk,8,14,340.00,764.50,4100.00
long_walk,8,15,340.00,820.00,4100.00
long_walk,8,16,340.00,656.10,2640.00
long_walk,8,17,320.00,627.70,3840.00
long_walk,8,18,320.00,504.00,2640.00
long_walk,8,19,320.00,473.80,2640.00
long_walk,9,0,1160.00,2452.40,2640.00
