walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1620.00,2444.20,2620.00
long_walk,1,1,1620.00,2303.60,2620.00
long_walk,1,2,1620.00,2209.60,2620.00
long_walk,1,3,840.00,2184.40,2620.00
long_walk,1,4,840.00,2044.20,2620.00
long_walk,1,5,660.00,1904.60,2620.00
long_walk,1,6,620.00,1667.60,2620.00
long_walk,1,7,420.00,1492.20,2620.00
long_walk,1,8,360.00,1328.80,3540.00
long_walk,1,9,220.00,1145.20,5780.00
long_walk,1,10,220.00,1008.00,6300.00
long_walk,1,11,220.00,851.60,3040.00
long_walk,1,12,220.00,847.40,7940.00
long_walk,1,13,220.00,795.80,8120.00
long_walk,1,14,220.00,774.80,4940.00
long_walk,1,15,220.00,794.00,7360.00
long_walk,1,16,220.00,747.20,2620.00
long_walk,1,17,220.00,895.80,6300.00
long_walk,1,18,220.00,853.40,7400.00
long_walk,1,19,200.00,588.40,2620.00
long_walk,2,0,1280.00,2438.60,2620.00
long_walk,2,1,1280.00,2279.80,2620.00
long_walk,2,2,1220.00,2183.20,2620.00
long_walk,2,3,920.00,2072.00,2620.00
long_walk,2,4,920.00,1871.60,2620.00
long_walk,2,5,760.00,1521.60,2240.00
long_walk,2,6,640.00,1293.60,4120.00
long_walk,2,7,560.00,1170.20,5560.00
long_walk,2,8,520.00,968.20,2040.00
long_walk,2,9,320.00,913.20,5560.00
long_walk,2,10,300.00,838.20,2800.00
long_walk,2,11,300.00,842.80,8420.00
long_walk,2,12,300.00,728.00,3240.00
long_walk,2,13,300.00,703.60,2840.00
long_walk,2,14,300.00,671.60,5520.00
long_walk,2,15,280.00,601.00,5720.00
long_walk,2,16,280.00,529.80,5100.00
long_walk,2,17,280.00,558.60,2720.00
long_walk,2,18,280.00,446.20,2080.00
long_walk,2,19,280.00,567.60,5100.00
long_walk,3,0,1840.00,2447.80,2620.00
long_walk,3,1,1040.00,2287.80,2620.00
long_walk,3,2,1040.00,2113.00,2620.00
long_walk,3,3,760.00,1913.80,2620.00
long_walk,3,4,760.00,1583.20,2620.00
long_walk,3,5,280.00,1333.40,2620.00
long_walk,3,6,280.00,1123.20,2620.00
long_walk,3,7,200.00,1031.00,2620.00
long_walk,3,8,200.00,965.00,2780.00
long_walk,3,9,200.00,802.00,6820.00
long_walk,3,10,180.00,604.20,3860.00
