walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1860.00,2651.60,2880.00
long_walk,1,1,1860.00,2418.20,2540.00
long_walk,1,2,1860.00,2348.00,2420.00
long_walk,1,3,1280.00,2254.80,2400.00
long_walk,1,4,1280.00,2023.60,2340.00
long_walk,1,5,1280.00,1769.00,1860.00
long_walk,1,6,1280.00,1574.80,1860.00
long_walk,1,7,1100.00,1278.20,1280.00
long_walk,1,8,1100.00,1273.40,1280.00
long_walk,1,9,1100.00,1261.40,1280.00
long_walk,1,10,1100.00,1221.80,1280.00
long_walk,1,11,1100.00,1117.00,1280.00
long_walk,1,12,1040.00,1099.40,1100.00
long_walk,1,13,1040.00,1098.80,1100.00
long_walk,1,14,900.00,1092.60,1100.00
long_walk,1,15,900.00,1085.50,1100.00
long_walk,1,16,730.00,1046.40,1100.00
long_walk,1,17,730.00,994.70,1040.00
long_walk,1,18,730.00,895.40,1040.00
long_walk,1,19,730.00,818.30,900.00
long_walk,2,0,2320.00,2667.20,2880.00
long_walk,2,1,2320.00,2438.30,2540.00
long_walk,2,2,2320.00,2404.00,2420.00
long_walk,2,3,2320.00,2383.20,2400.00
long_walk,2,4,2300.00,2352.20,2400.00
long_walk,2,5,2300.00,2318.20,2320.00
long_walk,2,6,2200.00,2311.20,2320.00
long_walk,2,7,1390.00,2280.30,2320.00
long_walk,2,8,1390.00,2220.00,2300.00
long_walk,2,9,1390.00,2079.70,2300.00
long_walk,2,10,1390.00,1766.00,2200.00
long_walk,2,11,1170.00,1475.80,1780.00
long_walk,2,12,1090.00,1378.80,1390.00
long_walk,2,13,1090.00,1350.50,1390.00
long_walk,2,14,1050.00,1262.10,1390.00
long_walk,2,15,830.00,1129.00,1170.00
long_walk,2,16,830.00,1069.80,1090.00
long_walk,2,17,830.00,1033.60,1090.00
long_walk,2,18,830.00,942.20,1050.00
long_walk,2,19,830.00,830.00,830.00
long_walk,3,0,2400.00,2659.00,2880.00
long_walk,3,1,2400.00,2442.60,2560.00
long_walk,3,2,2360.00,2399.60,2400.00
long_walk,3,3,2100.00,2394.80,2400.00
long_walk,3,4,1850.00,2378.10,2400.00
long_walk,3,5,1220.00,2316.40,2400.00
long_walk,3,6,980.00,2137.20,2360.00
long_walk,3,7,980.00,1807.10,2100.00
long_walk,3,8,980.00,1413.20,1850.00
long_walk,3,9,980.00,1133.60,1220.00
long_walk,3,10,860.00,990.80,1220.00
long_walk,3,11,860.00,974.00,980.00
long_walk,3,12,860.00,959.60,980.00
long_walk,3,13,860.00,932.00,980.00
long_walk,3,14,860.00,860.00,860.00
long_walk,3,15,860.00,860.00,860.00
long_walk,3,16,860.00,860.00,860.00
long_walk,3,17,860.00,860.00,860.00
long_walk,3,18,860.00,860.00,860.00
long_walk,3,19,860.00,860.00,860.00
long_walk,4,0,2400.00,2701.80,2880.00
long_walk,4,1,2320.00,2456.60,2540.00
long_walk,4,2,2300.00,2396.00,2420.00
long_walk,4,3,2300.00,2385.20,2400.00
long_walk,4,4,2300.00,2351.40,2400.00
long_walk,4,5,2300.00,2300.00,2300.00
long_walk,4,6,1660.00,2293.20,2300.00
long_walk,4,7,1660.00,2267.20,2300.00
long_walk,4,8,1660.00,2181.60,2300.00
long_walk,4,9,1660.00,1945.80,2300.00
long_walk,4,10,1280.00,1648.60,1660.00
long_walk,4,11,1160.00,1599.40,1660.00
long_walk,4,12,1160.00,1461.80,1660.00
long_walk,4,13,1160.00,1247.60,1280.00
long_walk,4,14,1160.00,1186.40,1280.00
long_walk,4,15,1160.00,1160.00,1160.00
long_walk,4,16,1160.00,1160.00,1160.00
long_walk,4,17,1160.00,1160.00,1160.00
long_walk,4,18,1160.00,1160.00,1160.00
long_walk,4,19,980.00,1158.20,1160.00
long_walk,5,0,2400.00,2651.80,2880.00
long_walk,5,1,2400.00,2428.00,2540.00
long_walk,5,2,2400.00,2400.00,2400.00
long_walk,5,3,2300.00,2399.00,2400.00
long_walk,5,4,2300.00,2394.00,2400.00
long_walk,5,5,2300.00,2380.00,2400.00
long_walk,5,6,2300.00,2344.00,2400.00
long_walk,5,7,2260.00,2299.20,2300.00
long_walk,5,8,2260.00,2297.60,2300.00
long_walk,5,9,2200.00,2291.20,2300.00
long_walk,5,10,2140.00,2271.20,2300.00
long_walk,5,11,2120.00,2243.90,2260.00
long_walk,5,12,1820.00,2210.10,2260.00
long_walk,5,13,1820.00,2147.10,2200.00
long_walk,5,14,1820.00,2098.60,2140.00
long_walk,5,15,1500.00,2014.10,2130.00
long_walk,5,16,1080.00,1855.30,2020.00
long_walk,5,17,1080.00,1687.10,1820.00
long_walk,5,18,1060.00,1500.30,1760.00
long_walk,5,19,1060.00,1285.10,1620.00
long_walk,6,0,2400.00,2663.60,2880.00
long_walk,6,1,2400.00,2418.60,2460.00
long_walk,6,2,2400.00,2400.00,2400.00
long_walk,6,3,2400.00,2400.00,2400.00
long_walk,6,4,2400.00,2400.00,2400.00
long_walk,6,5,2400.00,2400.00,2400.00
long_walk,6,6,2300.00,2398.00,2400.00
long_walk,6,7,2300.00,2394.00,2400.00
long_walk,6,8,1900.00,2375.80,2400.00
long_walk,6,9,1900.00,2319.40,2400.00
long_walk,6,10,1010.00,2242.40,2300.00
long_walk,6,11,1010.00,2089.50,2300.00
long_walk,6,12,1010.00,1756.00,2110.00
long_walk,6,13,1010.00,1388.40,1900.00
long_walk,6,14,1010.00,1010.00,1010.00
long_walk,6,15,840.00,1008.30,1010.00
long_walk,6,16,840.00,1003.20,1010.00
long_walk,6,17,840.00,991.70,1010.00
long_walk,6,18,840.00,966.20,1010.00
long_walk,6,19,840.00,889.60,1010.00
long_walk,7,0,2400.00,2680.30,2880.00
long_walk,7,1,2340.00,2432.00,2560.00
long_walk,7,2,2340.00,2397.60,2400.00
long_walk,7,3,2300.00,2393.00,2400.00
long_walk,7,4,2290.00,2378.90,2400.00
long_walk,7,5,2230.00,2332.80,2340.00
long_walk,7,6,2020.00,2310.30,2340.00
long_walk,7,7,2020.00,2272.60,2300.00
long_walk,7,8,2020.00,2213.60,2280.00
long_walk,7,9,1500.00,2135.20,2230.00
long_walk,7,10,1500.00,2043.60,2140.00
long_walk,7,11,1480.00,1951.60,2020.00
long_walk,7,12,1480.00,1830.20,2020.00
long_walk,7,13,1480.00,1561.00,1920.00
long_walk,7,14,1480.00,1493.60,1500.00
long_walk,7,15,1480.00,1483.00,1500.00
long_walk,7,16,1480.00,1480.00,1480.00
long_walk,7,17,1480.00,1480.00,1480.00
long_walk,7,18,1480.00,1480.00,1480.00
long_walk,7,19,1480.00,1480.00,1480.00
long_walk,8,0,2400.00,2679.40,2880.00
long_walk,8,1,2400.00,2451.40,2540.00
long_walk,8,2,2300.00,2400.30,2420.00
long_walk,8,3,2240.00,2387.60,2400.00
long_walk,8,4,2240.00,2372.00,2400.00
long_walk,8,5,2040.00,2322.20,2400.00
long_walk,8,6,2040.00,2280.20,2330.00
long_walk,8,7,1920.00,2245.00,2300.00
long_walk,8,8,1560.00,2187.20,2260.00
long_walk,8,9,1560.00,2091.00,2240.00
long_walk,8,10,1280.00,1978.20,2040.00
long_walk,8,11,1280.00,1794.80,2040.00
long_walk,8,12,1240.00,1510.20,1900.00
long_walk,8,13,1140.00,1323.80,1560.00
long_walk,8,14,1120.00,1271.40,1280.00
long_walk,8,15,1120.00,1252.80,1280.00
long_walk,8,16,1120.00,1209.20,1280.00
long_walk,8,17,1040.00,1146.40,1240.00
long_walk,8,18,1020.00,1114.20,1120.00
long_walk,8,19,920.00,1099.60,1120.00
long_walk,9,0,2400.00,2663.80,2880.00
long_walk,9,1,2220.00,2447.60,2560.00
long_walk,9,2,2220.00,2396.40,2420.00
long_walk,9,3,2220.00,2380.20,2400.00
long_walk,9,4,2100.00,2347.20,2400.00
long_walk,9,5,1620.00,2249.40,2400.00
long_walk,9,6,1620.00,2180.00,2220.00
long_walk,9,7,1320.00,2086.60,2220.00
long_walk,9,8,840.00,1917.00,2100.00
long_walk,9,9,840.00,1639.00,1980.00
long_walk,9,10,840.00,1543.60,1620.00
long_walk,9,11,840.00,1350.90,1620.00
long_walk,9,12,820.00,1065.20,1320.00
long_walk,9,13,820.00,842.80,920.00
long_walk,9,14,820.00,839.00,840.00
long_walk,9,15,820.00,836.80,840.00
long_walk,9,16,680.00,828.00,840.00
long_walk,9,17,680.00,817.20,820.00
long_walk,9,18,680.00,813.00,820.00
long_walk,9,19,680.00,807.40,820.00
long_walk,10,0,2400.00,2672.80,2880.00
long_walk,10,1,2400.00,2448.80,2540.00
long_walk,10,2,2340.00,2410.00,2420.00
long_walk,10,3,2300.00,2397.40,2400.00
long_walk,10,4,2060.00,2386.70,2400.00
long_walk,10,5,2060.00,2359.60,2400.00
long_walk,10,6,2060.00,2301.50,2340.00
long_walk,10,7,2060.00,2275.20,2300.00
long_walk,10,8,2060.00,2212.00,2300.00
long_walk,10,9,1920.00,2058.60,2060.00
long_walk,10,10,1500.00,2042.80,2060.00
long_walk,10,11,1480.00,1996.40,2060.00
long_walk,10,12,1480.00,1860.80,2060.00
long_walk,10,13,1480.00,1589.20,1920.00
long_walk,10,14,1240.00,1490.80,1500.00
long_walk,10,15,900.00,1464.80,1500.00
long_walk,10,16,900.00,1428.20,1480.00
long_walk,10,17,900.00,1310.80,1480.00
long_walk,10,18,900.00,1040.20,1440.00
