walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1720.00,2436.00,2640.00
long_walk,1,1,1720.00,2220.60,2340.00
long_walk,1,2,1720.00,2155.60,2220.00
long_walk,1,3,1220.00,2078.00,2200.00
long_walk,1,4,1220.00,1875.20,2160.00
long_walk,1,5,1220.00,1647.20,1720.00
long_walk,1,6,1220.00,1455.40,1720.00
long_walk,1,7,1220.00,1220.00,1220.00
long_walk,1,8,1140.00,1219.20,1220.00
long_walk,1,9,1140.00,1216.80,1220.00
long_walk,1,10,1140.00,1209.60,1220.00
long_walk,1,11,1060.00,1190.40,1220.00
long_walk,1,12,1060.00,1147.20,1220.00
long_walk,1,13,1060.00,1134.40,1140.00
long_walk,1,14,1060.00,1124.80,1140.00
long_walk,1,15,1060.00,1099.20,1140.00
long_walk,1,16,1060.00,1060.00,1060.00
long_walk,1,17,1060.00,1060.00,1060.00
long_walk,1,18,1020.00,1059.60,1060.00
long_walk,1,19,1020.00,1059.20,1060.00
long_walk,2,0,2180.00,2450.80,2640.00
long_walk,2,1,2180.00,2247.60,2360.00
long_walk,2,2,2180.00,2207.80,2220.00
long_walk,2,3,1940.00,2193.80,2200.00
long_walk,2,4,1940.00,2184.20,2200.00
long_walk,2,5,1940.00,2155.40,2180.00
long_walk,2,6,1940.00,2100.20,2180.00
long_walk,2,7,1840.00,1947.40,2120.00
long_walk,2,8,1840.00,1938.00,1940.00
long_walk,2,9,1760.00,1931.20,1940.00
long_walk,2,10,1760.00,1904.20,1940.00
long_walk,2,11,1580.00,1838.10,1940.00
long_walk,2,12,1380.00,1786.60,1840.00
long_walk,2,13,1200.00,1704.20,1760.00
long_walk,2,14,940.00,1571.60,1760.00
long_walk,2,15,940.00,1393.30,1580.00
long_walk,2,16,800.00,1259.00,1380.00
long_walk,2,17,680.00,1123.50,1300.00
long_walk,2,18,680.00,980.30,1200.00
long_walk,2,19,680.00,885.40,940.00
long_walk,3,0,2200.00,2443.00,2640.00
long_walk,3,1,2200.00,2243.80,2360.00
long_walk,3,2,2200.00,2201.20,2220.00
long_walk,3,3,2120.00,2199.20,2200.00
long_walk,3,4,2120.00,2196.00,2200.00
long_walk,3,5,2120.00,2190.40,2200.00
long_walk,3,6,2020.00,2164.60,2200.00
long_walk,3,7,2020.00,2118.00,2120.00
long_walk,3,8,2020.00,2112.20,2120.00
long_walk,3,9,1800.00,2092.80,2120.00
long_walk,3,10,1800.00,2041.90,2120.00
long_walk,3,11,1800.00,1972.60,2020.00
long_walk,3,12,1660.00,1893.60,2020.00
long_walk,3,13,1500.00,1786.80,1800.00
long_walk,3,14,1220.00,1749.10,1800.00
long_walk,3,15,1220.00,1646.40,1800.00
long_walk,3,16,1220.00,1480.50,1660.00
long_walk,3,17,950.00,1273.30,1380.00
long_walk,3,18,950.00,1211.60,1220.00
long_walk,3,19,950.00,1191.80,1220.00
long_walk,4,0,2200.00,2481.40,2640.00
long_walk,4,1,2180.00,2257.20,2340.00
long_walk,4,2,2120.00,2197.80,2220.00
long_walk,4,3,2120.00,2191.40,2200.00
long_walk,4,4,2120.00,2168.00,2200.00
long_walk,4,5,1560.00,2114.40,2120.00
long_walk,4,6,1560.00,2103.20,2120.00
long_walk,4,7,1560.00,2064.00,2120.00
long_walk,4,8,1560.00,1951.70,2120.00
long_walk,4,9,1140.00,1632.50,2120.00
long_walk,4,10,1140.00,1539.60,1560.00
long_walk,4,11,1140.00,1471.40,1560.00
long_walk,4,12,1140.00,1282.40,1560.00
long_walk,4,13,1140.00,1140.00,1140.00
long_walk,4,14,1140.00,1140.00,1140.00
long_walk,4,15,1140.00,1140.00,1140.00
long_walk,4,16,1140.00,1140.00,1140.00
long_walk,4,17,1140.00,1140.00,1140.00
long_walk,4,18,1140.00,1140.00,1140.00
long_walk,4,19,1140.00,1140.00,1140.00
long_walk,5,0,2200.00,2435.80,2640.00
long_walk,5,1,2200.00,2228.00,2340.00
long_walk,5,2,2200.00,2200.00,2200.00
long_walk,5,3,2120.00,2199.20,2200.00
long_walk,5,4,2120.00,2195.20,2200.00
long_walk,5,5,2120.00,2184.00,2200.00
long_walk,5,6,2120.00,2155.20,2200.00
long_walk,5,7,2120.00,2120.00,2120.00
long_walk,5,8,2040.00,2119.20,2120.00
long_walk,5,9,2040.00,2117.00,2120.00
long_walk,5,10,1480.00,2104.80,2120.00
long_walk,5,11,1480.00,2063.60,2120.00
long_walk,5,12,1480.00,1981.20,2120.00
long_walk,5,13,1220.00,1859.20,2040.00
long_walk,5,14,1220.00,1549.20,1940.00
long_walk,5,15,720.00,1433.80,1480.00
long_walk,5,16,720.00,1351.20,1480.00
long_walk,5,17,720.00,1147.20,1220.00
long_walk,5,18,720.00,989.20,1220.00
long_walk,5,19,720.00,744.40,880.00
long_walk,6,0,2200.00,2446.40,2640.00
long_walk,6,1,2200.00,2219.00,2300.00
long_walk,6,2,2200.00,2200.00,2200.00
long_walk,6,3,2200.00,2200.00,2200.00
long_walk,6,4,2120.00,2199.20,2200.00
long_walk,6,5,1900.00,2194.60,2200.00
long_walk,6,6,1900.00,2181.60,2200.00
long_walk,6,7,1900.00,2148.40,2200.00
long_walk,6,8,1840.00,2041.30,2200.00
long_walk,6,9,1840.00,1894.80,1900.00
long_walk,6,10,1680.00,1878.40,1900.00
long_walk,6,11,1540.00,1833.30,1890.00
long_walk,6,12,1140.00,1779.00,1840.00
long_walk,6,13,1140.00,1664.60,1740.00
long_walk,6,14,1140.00,1566.80,1660.00
long_walk,6,15,980.00,1374.00,1660.00
long_walk,6,16,980.00,1136.00,1140.00
long_walk,6,17,980.00,1129.60,1140.00
long_walk,6,18,640.00,1095.80,1140.00
long_walk,6,19,640.00,1016.00,1140.00
long_walk,7,0,2200.00,2461.00,2640.00
long_walk,7,1,2160.00,2232.20,2360.00
long_walk,7,2,2160.00,2198.40,2200.00
long_walk,7,3,2120.00,2195.20,2200.00
long_walk,7,4,2120.00,2186.00,2200.00
long_walk,7,5,2120.00,2156.60,2200.00
long_walk,7,6,2120.00,2143.40,2160.00
long_walk,7,7,2120.00,2120.00,2120.00
long_walk,7,8,2020.00,2119.00,2120.00
long_walk,7,9,2020.00,2118.00,2120.00
long_walk,7,10,2020.00,2112.60,2120.00
long_walk,7,11,1800.00,2095.80,2120.00
long_walk,7,12,1800.00,2056.40,2120.00
long_walk,7,13,1800.00,2013.80,2020.00
long_walk,7,14,1800.00,1998.50,2020.00
long_walk,7,15,1460.00,1944.90,2020.00
long_walk,7,16,1460.00,1814.70,1980.00
long_walk,7,17,1460.00,1732.50,1800.00
long_walk,7,18,1170.00,1594.60,1770.00
long_walk,7,19,1170.00,1454.00,1460.00
long_walk,8,0,2200.00,2461.20,2640.00
long_walk,8,1,2200.00,2251.40,2340.00
long_walk,8,2,2120.00,2201.20,2220.00
long_walk,8,3,2100.00,2191.80,2200.00
long_walk,8,4,2100.00,2181.00,2200.00
long_walk,8,5,2040.00,2145.40,2200.00
long_walk,8,6,1990.00,2120.10,2140.00
long_walk,8,7,1990.00,2106.90,2120.00
long_walk,8,8,1920.00,2073.80,2120.00
long_walk,8,9,1500.00,2014.50,2100.00
long_walk,8,10,1500.00,1947.70,1990.00
long_walk,8,11,1500.00,1866.80,1990.00
long_walk,8,12,1500.00,1740.30,1920.00
long_walk,8,13,1380.00,1513.80,1700.00
long_walk,8,14,1360.00,1491.50,1500.00
long_walk,8,15,1360.00,1466.00,1500.00
