walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1760.00,2435.20,2640.00
long_walk,1,1,1760.00,2216.60,2340.00
long_walk,1,2,1760.00,2143.80,2220.00
long_walk,1,3,1140.00,2037.20,2200.00
long_walk,1,4,680.00,1814.20,2040.00
long_walk,1,5,680.00,1570.40,1760.00
long_walk,1,6,680.00,1105.80,1720.00
long_walk,1,7,680.00,765.00,1140.00
long_walk,1,8,620.00,679.40,680.00
long_walk,1,9,620.00,678.80,680.00
long_walk,1,10,620.00,675.80,680.00
long_walk,1,11,620.00,667.40,680.00
long_walk,1,12,620.00,642.20,680.00
long_walk,1,13,620.00,620.00,620.00
long_walk,1,14,620.00,620.00,620.00
long_walk,1,15,600.00,619.80,620.00
long_walk,1,16,600.00,619.40,620.00
long_walk,1,17,600.00,617.20,620.00
long_walk,1,18,530.00,610.70,620.00
long_walk,1,19,530.00,597.90,600.00
long_walk,2,0,1680.00,2439.20,2640.00
long_walk,2,1,970.00,2197.00,2340.00
long_walk,2,2,970.00,2092.10,2220.00
long_walk,2,3,790.00,1838.90,2200.00
long_walk,2,4,440.00,1466.50,1720.00
long_walk,2,5,440.00,1020.00,1660.00
long_walk,2,6,440.00,767.40,970.00
long_walk,2,7,440.00,616.90,790.00
long_walk,2,8,440.00,440.00,440.00
long_walk,2,9,440.00,440.00,440.00
long_walk,2,10,440.00,440.00,440.00
long_walk,2,11,440.00,440.00,440.00
long_walk,2,12,440.00,440.00,440.00
long_walk,2,13,420.00,439.80,440.00
long_walk,2,14,420.00,439.80,440.00
long_walk,2,15,360.00,438.60,440.00
long_walk,2,16,360.00,436.80,440.00
long_walk,2,17,360.00,431.00,440.00
long_walk,2,18,360.00,417.00,440.00
long_walk,2,19,360.00,401.40,420.00
long_walk,3,0,2000.00,2437.20,2640.00
long_walk,3,1,1140.00,2212.40,2360.00
long_walk,3,2,1140.00,2084.50,2200.00
long_walk,3,3,1120.00,1813.40,2200.00
long_walk,3,4,1120.00,1260.00,1840.00
long_walk,3,5,1120.00,1129.80,1140.00
long_walk,3,6,1120.00,1120.00,1120.00
long_walk,3,7,960.00,1118.40,1120.00
long_walk,3,8,630.00,1107.10,1120.00
long_walk,3,9,630.00,1073.40,1120.00
long_walk,3,10,440.00,995.40,1120.00
long_walk,3,11,440.00,871.20,960.00
long_walk,3,12,440.00,697.70,960.00
long_walk,3,13,440.00,594.00,630.00
long_walk,3,14,440.00,529.20,630.00
long_walk,3,15,440.00,440.00,440.00
long_walk,3,16,440.00,440.00,440.00
long_walk,3,17,360.00,439.00,440.00
long_walk,3,18,360.00,437.00,440.00
long_walk,3,19,360.00,427.80,440.00
long_walk,4,0,1260.00,2467.60,2640.00
long_walk,4,1,1180.00,2236.20,2340.00
long_walk,4,2,1120.00,2096.40,2220.00
long_walk,4,3,1120.00,1842.80,2200.00
long_walk,4,4,1120.00,1223.00,1660.00
long_walk,4,5,1120.00,1136.00,1180.00
long_walk,4,6,960.00,1118.40,1120.00
long_walk,4,7,960.00,1115.20,1120.00
long_walk,4,8,900.00,1095.60,1120.00
long_walk,4,9,900.00,1046.00,1120.00
long_walk,4,10,420.00,924.50,960.00
long_walk,4,11,420.00,818.50,960.00
long_walk,4,12,420.00,656.30,880.00
long_walk,4,13,360.00,423.60,630.00
