walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1740.00,2426.60,2620.00
long_walk,1,1,1740.00,2215.40,2340.00
long_walk,1,2,1740.00,2148.00,2220.00
long_walk,1,3,1060.00,2048.80,2200.00
long_walk,1,4,540.00,1823.20,2020.00
long_walk,1,5,540.00,1536.40,1740.00
long_walk,1,6,540.00,1105.60,1740.00
long_walk,1,7,540.00,853.20,1060.00
long_walk,1,8,540.00,616.00,860.00
long_walk,1,9,480.00,539.40,540.00
long_walk,1,10,480.00,537.00,540.00
long_walk,1,11,480.00,529.80,540.00
long_walk,1,12,480.00,508.20,540.00
long_walk,1,13,480.00,480.00,480.00
long_walk,1,14,480.00,480.00,480.00
long_walk,1,15,480.00,480.00,480.00
long_walk,1,16,280.00,478.00,480.00
long_walk,1,17,280.00,475.80,480.00
long_walk,1,18,280.00,465.20,480.00
long_walk,1,19,280.00,441.80,480.00
long_walk,2,0,1620.00,2429.20,2620.00
long_walk,2,1,840.00,2192.40,2340.00
long_walk,2,2,840.00,2078.60,2220.00
long_walk,2,3,660.00,1796.80,2200.00
long_walk,2,4,260.00,1384.00,1660.00
long_walk,2,5,260.00,893.80,1600.00
long_walk,2,6,260.00,627.00,840.00
long_walk,2,7,260.00,460.80,660.00
long_walk,2,8,260.00,260.00,260.00
long_walk,2,9,260.00,260.00,260.00
long_walk,2,10,260.00,260.00,260.00
long_walk,2,11,260.00,260.00,260.00
long_walk,2,12,260.00,260.00,260.00
long_walk,2,13,240.00,259.80,260.00
long_walk,2,14,240.00,259.80,260.00
long_walk,2,15,180.00,258.60,260.00
long_walk,2,16,180.00,256.80,260.00
long_walk,2,17,180.00,251.00,260.00
long_walk,2,18,180.00,237.00,260.00
long_walk,2,19,180.00,221.40,240.00
long_walk,3,0,1960.00,2428.60,2620.00
long_walk,3,1,1020.00,2209.40,2360.00
long_walk,3,2,1020.00,2070.20,2200.00
long_walk,3,3,980.00,1764.60,2200.00
long_walk,3,4,980.00,1107.20,1620.00
