walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1740.00,2605.40,2880.00
long_walk,1,1,1740.00,2371.60,2440.00
long_walk,1,2,1740.00,2257.00,2400.00
long_walk,1,3,620.00,1999.80,2400.00
long_walk,1,4,600.00,1607.00,1800.00
long_walk,1,5,600.00,1277.60,1740.00
long_walk,1,6,500.00,718.60,1040.00
long_walk,1,7,500.00,614.40,620.00
long_walk,1,8,420.00,606.20,620.00
long_walk,1,9,420.00,582.00,600.00
long_walk,1,10,420.00,546.60,600.00
long_walk,1,11,340.00,489.60,500.00
long_walk,1,12,340.00,475.20,500.00
long_walk,1,13,340.00,429.60,500.00
long_walk,1,14,340.00,402.20,420.00
long_walk,1,15,340.00,371.60,420.00
long_walk,1,16,340.00,340.00,340.00
long_walk,1,17,340.00,340.00,340.00
long_walk,1,18,340.00,340.00,340.00
long_walk,1,19,340.00,340.00,340.00
long_walk,2,0,1340.00,2600.60,2880.00
long_walk,2,1,1340.00,2367.60,2440.00
long_walk,2,2,1080.00,2251.80,2420.00
long_walk,2,3,1040.00,1923.90,2400.00
long_walk,2,4,1040.00,1395.20,1800.00
long_walk,2,5,680.00,1121.40,1220.00
long_walk,2,6,680.00,1017.00,1080.00
long_walk,2,7,320.00,899.40,1040.00
long_walk,2,8,320.00,679.00,720.00
long_walk,2,9,320.00,618.20,680.00
long_walk,2,10,300.00,499.20,680.00
long_walk,2,11,300.00,367.60,480.00
long_walk,2,12,300.00,318.80,320.00
long_walk,2,13,300.00,317.00,320.00
long_walk,2,14,300.00,310.80,320.00
long_walk,2,15,300.00,300.00,300.00
long_walk,2,16,300.00,300.00,300.00
long_walk,2,17,300.00,300.00,300.00
long_walk,2,18,300.00,300.00,300.00
long_walk,2,19,300.00,300.00,300.00
long_walk,3,0,2080.00,2610.20,2880.00
long_walk,3,1,1280.00,2392.00,2440.00
long_walk,3,2,1220.00,2272.80,2400.00
long_walk,3,3,1220.00,1977.60,2400.00
long_walk,3,4,1220.00,1468.80,2000.00
long_walk,3,5,1220.00,1230.20,1280.00
long_walk,3,6,520.00,1213.00,1220.00
long_walk,3,7,520.00,1213.00,1220.00
long_walk,3,8,520.00,1157.00,1220.00
