walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1600.00,2389.80,2640.00
long_walk,1,1,1600.00,2176.00,2240.00
long_walk,1,2,1600.00,2071.40,2200.00
long_walk,1,3,600.00,1840.60,2200.00
long_walk,1,4,580.00,1484.60,1660.00
long_walk,1,5,560.00,1174.80,1600.00
long_walk,1,6,480.00,671.40,980.00
long_walk,1,7,420.00,588.20,600.00
long_walk,1,8,420.00,569.20,600.00
long_walk,1,9,420.00,537.00,580.00
long_walk,1,10,420.00,479.20,560.00
long_walk,1,11,420.00,440.40,480.00
long_walk,1,12,420.00,420.00,420.00
long_walk,1,13,320.00,419.00,420.00
long_walk,1,14,320.00,416.00,420.00
long_walk,1,15,320.00,414.00,420.00
long_walk,1,16,320.00,401.00,420.00
long_walk,1,17,320.00,369.00,420.00
long_walk,1,18,320.00,320.00,320.00
long_walk,1,19,280.00,319.60,320.00
long_walk,2,0,1280.00,2386.00,2640.00
long_walk,2,1,1280.00,2174.20,2240.00
long_walk,2,2,1020.00,2070.20,2220.00
long_walk,2,3,980.00,1781.80,2200.00
long_walk,2,4,980.00,1321.20,1660.00
long_walk,2,5,660.00,1062.00,1160.00
long_walk,2,6,660.00,960.60,1020.00
long_walk,2,7,320.00,853.90,980.00
long_walk,2,8,320.00,660.20,700.00
long_walk,2,9,320.00,602.20,660.00
long_walk,2,10,290.00,487.80,660.00
long_walk,2,11,290.00,373.30,470.00
long_walk,2,12,290.00,317.60,320.00
long_walk,2,13,290.00,312.50,320.00
long_walk,2,14,290.00,300.50,320.00
long_walk,2,15,290.00,290.00,290.00
long_walk,2,16,290.00,290.00,290.00
long_walk,2,17,290.00,290.00,290.00
long_walk,2,18,290.00,290.00,290.00
long_walk,2,19,290.00,290.00,290.00
long_walk,3,0,1920.00,2394.20,2640.00
long_walk,3,1,1220.00,2195.00,2240.00
long_walk,3,2,1160.00,2087.80,2200.00
long_walk,3,3,1160.00,1827.80,2200.00
long_walk,3,4,1160.00,1380.80,1840.00
long_walk,3,5,1160.00,1170.20,1220.00
long_walk,3,6,500.00,1153.40,1160.00
long_walk,3,7,500.00,1153.40,1160.00
long_walk,3,8,500.00,1100.60,1160.00
long_walk,3,9,500.00,968.60,1160.00
long_walk,3,10,500.00,637.70,1160.00
long_walk,3,11,500.00,500.00,500.00
long_walk,3,12,500.00,500.00,500.00
long_walk,3,13,500.00,500.00,500.00
long_walk,3,14,500.00,500.00,500.00
long_walk,3,15,500.00,500.00,500.00
long_walk,3,16,500.00,500.00,500.00
long_walk,3,17,500.00,500.00,500.00
long_walk,3,18,500.00,500.00,500.00
long_walk,3,19,500.00,500.00,500.00
long_walk,4,0,1340.00,2424.80,2640.00
long_walk,4,1,1240.00,2198.80,2240.00
long_walk,4,2,1020.00,2066.00,2220.00
long_walk,4,3,1020.00,1730.60,2200.00
long_walk,4,4,1020.00,1267.80,1340.00
long_walk,4,5,1020.00,1153.00,1260.00
long_walk,4,6,410.00,1023.00,1160.00
long_walk,4,7,410.00,985.40,1020.00
long_walk,4,8,410.00,913.90,1020.00
long_walk,4,9,410.00,711.10,1020.00
long_walk,4,10,410.00,411.60,510.00
long_walk,4,11,410.00,410.00,410.00
long_walk,4,12,410.00,410.00,410.00
long_walk,4,13,410.00,410.00,410.00
long_walk,4,14,410.00,410.00,410.00
long_walk,4,15,410.00,410.00,410.00
long_walk,4,16,410.00,410.00,410.00
long_walk,4,17,410.00,410.00,410.00
long_walk,4,18,310.00,409.00,410.00
long_walk,4,19,310.00,407.00,410.00
