walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1640.00,2390.20,2640.00
long_walk,1,1,1640.00,2178.00,2240.00
long_walk,1,2,1640.00,2076.80,2200.00
long_walk,1,3,640.00,1850.20,2200.00
long_walk,1,4,560.00,1523.80,1680.00
long_walk,1,5,560.00,1216.40,1640.00
long_walk,1,6,360.00,693.80,980.00
long_walk,1,7,360.00,608.40,660.00
long_walk,1,8,360.00,550.80,640.00
long_walk,1,9,360.00,485.20,560.00
long_walk,1,10,360.00,403.00,540.00
long_walk,1,11,360.00,360.00,360.00
long_walk,1,12,360.00,360.00,360.00
long_walk,1,13,360.00,360.00,360.00
long_walk,1,14,360.00,360.00,360.00
long_walk,1,15,360.00,360.00,360.00
long_walk,1,16,360.00,360.00,360.00
long_walk,1,17,360.00,360.00,360.00
long_walk,1,18,360.00,360.00,360.00
long_walk,1,19,360.00,360.00,360.00
long_walk,2,0,1280.00,2385.80,2640.00
long_walk,2,1,1280.00,2174.40,2240.00
long_walk,2,2,1020.00,2070.60,2220.00
long_walk,2,3,980.00,1779.70,2200.00
long_walk,2,4,980.00,1320.40,1660.00
long_walk,2,5,800.00,1081.20,1280.00
long_walk,2,6,700.00,971.80,1020.00
long_walk,2,7,360.00,918.60,980.00
long_walk,2,8,360.00,805.80,980.00
long_walk,2,9,360.00,706.20,800.00
long_walk,2,10,240.00,595.00,700.00
long_walk,2,11,240.00,399.20,640.00
long_walk,2,12,240.00,349.00,360.00
long_walk,2,13,240.00,331.40,360.00
long_walk,2,14,240.00,288.00,340.00
long_walk,2,15,240.00,240.00,240.00
long_walk,2,16,240.00,240.00,240.00
long_walk,2,17,240.00,240.00,240.00
long_walk,2,18,240.00,240.00,240.00
long_walk,2,19,240.00,240.00,240.00
long_walk,3,0,1880.00,2393.80,2640.00
long_walk,3,1,1220.00,2193.80,2240.00
long_walk,3,2,1160.00,2084.80,2200.00
long_walk,3,3,1160.00,1825.60,2200.00
long_walk,3,4,480.00,1372.20,1840.00
long_walk,3,5,480.00,1140.00,1220.00
long_walk,3,6,480.00,1067.30,1160.00
long_walk,3,7,380.00,897.10,1160.00
long_walk,3,8,380.00,528.30,1140.00
long_walk,3,9,380.00,444.60,480.00
long_walk,3,10,320.00,385.20,460.00
long_walk,3,11,320.00,378.80,380.00
long_walk,3,12,320.00,377.80,380.00
long_walk,3,13,320.00,371.40,380.00
long_walk,3,14,300.00,354.60,380.00
long_walk,3,15,280.00,324.60,340.00
long_walk,3,16,280.00,316.80,320.00
long_walk,3,17,280.00,311.20,320.00
long_walk,3,18,280.00,296.40,320.00
long_walk,3,19,280.00,284.00,300.00
long_walk,4,0,1140.00,2422.80,2640.00
long_walk,4,1,1140.00,2195.80,2240.00
long_walk,4,2,1020.00,2079.60,2220.00
long_walk,4,3,1020.00,1809.60,2200.00
long_walk,4,4,940.00,1120.40,1160.00
long_walk,4,5,680.00,1064.60,1120.00
long_walk,4,6,560.00,994.60,1020.00
long_walk,4,7,460.00,950.10,1020.00
long_walk,4,8,380.00,819.00,940.00
long_walk,4,9,380.00,625.40,810.00
long_walk,4,10,380.00,500.40,560.00
long_walk,4,11,360.00,430.00,460.00
long_walk,4,12,360.00,382.20,420.00
long_walk,4,13,360.00,375.60,380.00
long_walk,4,14,360.00,367.60,380.00
long_walk,4,15,360.00,360.00,360.00
long_walk,4,16,360.00,360.00,360.00
long_walk,4,17,360.00,360.00,360.00
long_walk,4,18,360.00,360.00,360.00
long_walk,4,19,360.00,360.00,360.00
long_walk,5,0,1880.00,2392.80,2640.00
long_walk,5,1,1280.00,2186.80,2240.00
long_walk,5,2,1160.00,2110.80,2200.00
long_walk,5,3,1160.00,1892.80,2200.00
long_walk,5,4,1160.00,1551.80,1880.00
long_walk,5,5,1100.00,1187.80,1280.00
long_walk,5,6,980.00,1153.20,1160.00
long_walk,5,7,980.00,1135.60,1160.00
long_walk,5,8,700.00,1080.00,1160.00
long_walk,5,9,680.00,993.20,1100.00
long_walk,5,10,680.00,895.00,980.00
long_walk,5,11,680.00,742.40,980.00
long_walk,5,12,680.00,690.00,700.00
long_walk,5,13,540.00,678.60,680.00
long_walk,5,14,480.00,671.00,680.00
long_walk,5,15,480.00,649.40,680.00
long_walk,5,16,460.00,585.80,680.00
long_walk,5,17,460.00,523.00,540.00
long_walk,5,18,460.00,495.00,540.00
long_walk,5,19,420.00,472.40,480.00
long_walk,6,0,1160.00,2390.00,2640.00
long_walk,6,1,1160.00,2114.40,2240.00
long_walk,6,2,1140.00,1792.20,2200.00
long_walk,6,3,1120.00,1215.40,1660.00
long_walk,6,4,1120.00,1156.60,1160.00
long_walk,6,5,980.00,1147.20,1160.00
long_walk,6,6,920.00,1125.00,1140.00
long_walk,6,7,600.00,1088.40,1140.00
long_walk,6,8,600.00,995.40,1120.00
long_walk,6,9,380.00,883.40,960.00
long_walk,6,10,380.00,775.00,920.00
long_walk,6,11,380.00,599.50,740.00
long_walk,6,12,340.00,439.40,520.00
long_walk,6,13,340.00,378.60,380.00
long_walk,6,14,340.00,375.40,380.00
long_walk,6,15,320.00,367.40,380.00
long_walk,6,16,320.00,352.20,380.00
long_walk,6,17,320.00,337.00,340.00
long_walk,6,18,320.00,331.80,340.00
long_walk,6,19,280.00,320.00,340.00
long_walk,7,0,1140.00,2411.10,2640.00
long_walk,7,1,1140.00,2159.40,2240.00
long_walk,7,2,1120.00,1943.90,2200.00
long_walk,7,3,1120.00,1376.90,2200.00
long_walk,7,4,700.00,1127.70,1140.00
long_walk,7,5,380.00,1090.70,1120.00
long_walk,7,6,380.00,999.30,1120.00
long_walk,7,7,380.00,797.80,1120.00
long_walk,7,8,380.00,576.30,700.00
long_walk,7,9,380.00,419.60,580.00
long_walk,7,10,380.00,380.00,380.00
long_walk,7,11,380.00,380.00,380.00
long_walk,7,12,380.00,380.00,380.00
long_walk,7,13,380.00,380.00,380.00
long_walk,7,14,380.00,380.00,380.00
long_walk,7,15,380.00,380.00,380.00
long_walk,7,16,380.00,380.00,380.00
long_walk,7,17,380.00,380.00,380.00
long_walk,7,18,380.00,380.00,380.00
long_walk,7,19,380.00,380.00,380.00
long_walk,8,0,2060.00,2416.00,2640.00
long_walk,8,1,1160.00,2194.80,2240.00
long_walk,8,2,1160.00,2124.20,2200.00
long_walk,8,3,1160.00,1906.00,2200.00
long_walk,8,4,1020.00,1604.00,2060.00
long_walk,8,5,1020.00,1155.80,1160.00
long_walk,8,6,1020.00,1140.40,1160.00
long_walk,8,7,1020.00,1092.60,1160.00
long_walk,8,8,1020.00,1020.00,1020.00
long_walk,8,9,1020.00,1020.00,1020.00
long_walk,8,10,1020.00,1020.00,1020.00
long_walk,8,11,1020.00,1020.00,1020.00
long_walk,8,12,600.00,1015.80,1020.00
long_walk,8,13,600.00,999.00,1020.00
long_walk,8,14,600.00,971.00,1020.00
long_walk,8,15,600.00,858.10,1020.00
long_walk,8,16,600.00,614.60,690.00
long_walk,8,17,600.00,600.00,600.00
long_walk,8,18,500.00,598.20,600.00
long_walk,8,19,480.00,592.40,600.00
long_walk,9,0,1160.00,2386.60,2640.00
long_walk,9,1,1120.00,2182.40,2240.00
long_walk,9,2,1120.00,2072.60,2220.00
long_walk,9,3,1120.00,1673.60,2200.00
long_walk,9,4,900.00,1137.80,1160.00
long_walk,9,5,900.00,1117.80,1120.00
long_walk,9,6,900.00,1111.40,1120.00
long_walk,9,7,720.00,1089.80,1120.00
long_walk,9,8,360.00,1023.30,1120.00
long_walk,9,9,360.00,856.40,900.00
long_walk,9,10,360.00,751.80,900.00
long_walk,9,11,360.00,569.20,720.00
long_walk,9,12,360.00,403.20,580.00
long_walk,9,13,360.00,360.00,360.00
long_walk,9,14,340.00,359.80,360.00
long_walk,9,15,340.00,359.00,360.00
long_walk,9,16,340.00,357.80,360.00
long_walk,9,17,340.00,352.00,360.00
long_walk,9,18,340.00,340.20,360.00
long_walk,9,19,340.00,340.00,340.00
long_walk,10,0,1020.00,2387.40,2640.00
long_walk,10,1,1020.00,2091.00,2240.00
long_walk,10,2,1020.00,1757.40,2220.00
long_walk,10,3,1000.00,1139.60,1220.00
long_walk,10,4,1000.00,1052.80,1140.00
long_walk,10,5,1000.00,1019.20,1020.00
long_walk,10,6,920.00,1017.00,1020.00
long_walk,10,7,680.00,1003.40,1020.00
long_walk,10,8,680.00,969.40,1000.00
