walk,seed,generation,best_fitness,mean_fitness,worst_fitness
long_walk,1,0,1620.00,2381.60,2620.00
long_walk,1,1,1620.00,2175.60,2240.00
long_walk,1,2,1620.00,2077.80,2200.00
long_walk,1,3,560.00,1827.20,2200.00
long_walk,1,4,420.00,1496.80,1620.00
long_walk,1,5,420.00,1205.60,1620.00
long_walk,1,6,320.00,642.80,1120.00
long_walk,1,7,320.00,489.60,560.00
long_walk,1,8,220.00,437.40,500.00
long_walk,1,9,220.00,403.00,420.00
long_walk,1,10,220.00,370.20,420.00
long_walk,1,11,220.00,291.60,420.00
long_walk,1,12,220.00,236.60,260.00
long_walk,1,13,220.00,220.00,220.00
long_walk,1,14,220.00,220.00,220.00
long_walk,1,15,220.00,220.00,220.00
long_walk,1,16,220.00,220.00,220.00
long_walk,1,17,220.00,220.00,220.00
long_walk,1,18,220.00,220.00,220.00
long_walk,1,19,220.00,220.00,220.00
long_walk,2,0,1280.00,2376.00,2620.00
long_walk,2,1,1280.00,2172.00,2240.00
long_walk,2,2,1020.00,2063.40,2220.00
long_walk,2,3,980.00,1761.00,2200.00
long_walk,2,4,980.00,1307.80,1600.00
long_walk,2,5,660.00,1067.20,1280.00
long_walk,2,6,660.00,954.40,1020.00
long_walk,2,7,280.00,873.80,980.00
long_walk,2,8,280.00,702.40,900.00
long_walk,2,9,280.00,594.40,660.00
long_walk,2,10,280.00,492.40,660.00
long_walk,2,11,280.00,317.60,420.00
long_walk,2,12,280.00,280.00,280.00
long_walk,2,13,280.00,280.00,280.00
long_walk,2,14,280.00,280.00,280.00
long_walk,2,15,280.00,280.00,280.00
long_walk,2,16,280.00,280.00,280.00
long_walk,2,17,280.00,280.00,280.00
long_walk,2,18,280.00,280.00,280.00
long_walk,2,19,280.00,280.00,280.00
long_walk,3,0,1840.00,2385.20,2620.00
long_walk,3,1,1220.00,2192.20,2240.00
long_walk,3,2,1160.00,2078.20,2200.00
long_walk,3,3,1120.00,1804.00,2200.00
long_walk,3,4,500.00,1356.00,1800.00
long_walk,3,5,380.00,1118.20,1220.00
long_walk,3,6,380.00,1016.80,1160.00
long_walk,3,7,380.00,763.80,1020.00
long_walk,3,8,380.00,459.80,620.00
long_walk,3,9,380.00,383.20,480.00
long_walk,3,10,220.00,378.40,380.00
long_walk,3,11,220.00,378.40,380.00
long_walk,3,12,220.00,373.60,380.00
long_walk,3,13,220.00,359.20,380.00
long_walk,3,14,220.00,312.80,380.00
long_walk,3,15,180.00,219.60,220.00
long_walk,3,16,180.00,218.60,220.00
long_walk,3,17,180.00,215.40,220.00
long_walk,3,18,180.00,207.20,220.00
long_walk,3,19,180.00,187.60,200.00
long_walk,4,0,1020.00,2411.60,2620.00
long_walk,4,1,1020.00,2193.40,2240.00
long_walk,4,2,1000.00,2067.20,2220.00
long_walk,4,3,1000.00,1771.40,2200.00
long_walk,4,4,960.00,1018.00,1160.00
